HOUR,Date/time,Load [MW],,,
1,2024-01-01 01:00,1472.10,,,
2,2024-01-01 02:00,1446.02,,,
3,2024-01-01 03:00,1421.85,,,
4,2024-01-01 04:00,1408.93,,,
5,2024-01-01 05:00,1408.98,,,
6,2024-01-01 06:00,1438.07,,,
7,2024-01-01 07:00,1475.72,,,
8,2024-01-01 08:00,1508.48,,,
9,2024-01-01 09:00,1520.81,,,
10,2024-01-01 10:00,1625.08,,,
11,2024-01-01 11:00,1697.39,,,
12,2024-01-01 12:00,1751.57,,,
13,2024-01-01 13:00,1797.26,,,
14,2024-01-01 14:00,1799.78,,,
15,2024-01-01 15:00,1798.46,,,
16,2024-01-01 16:00,1761.35,,,
17,2024-01-01 17:00,1824.74,,,
18,2024-01-01 18:00,1869.31,,,
19,2024-01-01 19:00,1829.73,,,
20,2024-01-01 20:00,1796.49,,,
21,2024-01-01 21:00,1749.44,,,
22,2024-01-01 22:00,1680.27,,,
23,2024-01-01 23:00,1599.16,,,
24,2024-01-01 00:00,1604.97,,,
25,2024-01-02 01:00,1575.05,,,
26,2024-01-02 02:00,1541.76,,,
27,2024-01-02 03:00,1499.58,,,
28,2024-01-02 04:00,1497.36,,,
29,2024-01-02 05:00,1510.83,,,
30,2024-01-02 06:00,1564.08,,,
31,2024-01-02 07:00,1655.90,,,
32,2024-01-02 08:00,1765.98,,,
33,2024-01-02 09:00,1811.73,,,
34,2024-01-02 10:00,1831.29,,,
35,2024-01-02 11:00,1829.30,,,
36,2024-01-02 12:00,1817.51,,,
37,2024-01-02 13:00,1796.36,,,
38,2024-01-02 14:00,1746.35,,,
39,2024-01-02 15:00,1689.66,,,
40,2024-01-02 16:00,1688.25,,,
41,2024-01-02 17:00,1793.19,,,
42,2024-01-02 18:00,1912.39,,,
43,2024-01-02 19:00,1890.08,,,
44,2024-01-02 20:00,1868.91,,,
45,2024-01-02 21:00,1827.97,,,
46,2024-01-02 22:00,1755.21,,,
47,2024-01-02 23:00,1712.76,,,
48,2024-01-02 00:00,1685.32,,,
49,2024-01-03 01:00,1656.13,,,
50,2024-01-03 02:00,1627.26,,,
51,2024-01-03 03:00,1605.27,,,
52,2024-01-03 04:00,1598.07,,,
53,2024-01-03 05:00,1611.80,,,
54,2024-01-03 06:00,1604.82,,,
55,2024-01-03 07:00,1708.44,,,
56,2024-01-03 08:00,1816.38,,,
57,2024-01-03 09:00,1794.27,,,
58,2024-01-03 10:00,1761.42,,,
59,2024-01-03 11:00,1718.24,,,
60,2024-01-03 12:00,1693.86,,,
61,2024-01-03 13:00,1684.11,,,
62,2024-01-03 14:00,1661.50,,,
63,2024-01-03 15:00,1645.59,,,
64,2024-01-03 16:00,1658.56,,,
65,2024-01-03 17:00,1723.08,,,
66,2024-01-03 18:00,1813.49,,,
67,2024-01-03 19:00,1786.78,,,
68,2024-01-03 20:00,1762.31,,,
69,2024-01-03 21:00,1774.00,,,
70,2024-01-03 22:00,1716.52,,,
71,2024-01-03 23:00,1623.88,,,
72,2024-01-03 00:00,1581.57,,,
73,2024-01-04 01:00,1541.55,,,
74,2024-01-04 02:00,1500.00,,,
75,2024-01-04 03:00,1463.55,,,
76,2024-01-04 04:00,1446.10,,,
77,2024-01-04 05:00,1449.59,,,
78,2024-01-04 06:00,1484.40,,,
79,2024-01-04 07:00,1541.37,,,
80,2024-01-04 08:00,1639.54,,,
81,2024-01-04 09:00,1667.78,,,
82,2024-01-04 10:00,1667.37,,,
83,2024-01-04 11:00,1661.14,,,
84,2024-01-04 12:00,1652.92,,,
85,2024-01-04 13:00,1648.65,,,
86,2024-01-04 14:00,1639.23,,,
87,2024-01-04 15:00,1610.14,,,
88,2024-01-04 16:00,1618.94,,,
89,2024-01-04 17:00,1682.00,,,
90,2024-01-04 18:00,1768.66,,,
91,2024-01-04 19:00,1734.35,,,
92,2024-01-04 20:00,1718.80,,,
93,2024-01-04 21:00,1674.70,,,
94,2024-01-04 22:00,1613.69,,,
95,2024-01-04 23:00,1573.64,,,
96,2024-01-04 00:00,1579.55,,,
97,2024-01-05 01:00,1544.73,,,
98,2024-01-05 02:00,1517.68,,,
99,2024-01-05 03:00,1496.17,,,
100,2024-01-05 04:00,1513.51,,,
101,2024-01-05 05:00,1552.39,,,
102,2024-01-05 06:00,1634.02,,,
103,2024-01-05 07:00,1770.76,,,
104,2024-01-05 08:00,1856.75,,,
105,2024-01-05 09:00,1860.60,,,
106,2024-01-05 10:00,1868.65,,,
107,2024-01-05 11:00,1857.36,,,
108,2024-01-05 12:00,1843.83,,,
109,2024-01-05 13:00,1841.21,,,
110,2024-01-05 14:00,1827.22,,,
111,2024-01-05 15:00,1818.34,,,
112,2024-01-05 16:00,1835.55,,,
113,2024-01-05 17:00,1873.20,,,
114,2024-01-05 18:00,1945.74,,,
115,2024-01-05 19:00,1917.56,,,
116,2024-01-05 20:00,1871.14,,,
117,2024-01-05 21:00,1829.87,,,
118,2024-01-05 22:00,1784.02,,,
119,2024-01-05 23:00,1730.73,,,
120,2024-01-05 00:00,1770.91,,,
121,2024-01-06 01:00,1785.78,,,
122,2024-01-06 02:00,1751.78,,,
123,2024-01-06 03:00,1721.81,,,
124,2024-01-06 04:00,1711.91,,,
125,2024-01-06 05:00,1728.60,,,
126,2024-01-06 06:00,1767.77,,,
127,2024-01-06 07:00,1781.27,,,
128,2024-01-06 08:00,1863.93,,,
129,2024-01-06 09:00,1876.67,,,
130,2024-01-06 10:00,1893.27,,,
131,2024-01-06 11:00,1878.98,,,
132,2024-01-06 12:00,1854.06,,,
133,2024-01-06 13:00,1818.85,,,
134,2024-01-06 14:00,1767.89,,,
135,2024-01-06 15:00,1741.16,,,
136,2024-01-06 16:00,1770.99,,,
137,2024-01-06 17:00,1885.95,,,
138,2024-01-06 18:00,1987.96,,,
139,2024-01-06 19:00,1959.53,,,
140,2024-01-06 20:00,1913.20,,,
141,2024-01-06 21:00,1873.99,,,
142,2024-01-06 22:00,1834.20,,,
143,2024-01-06 23:00,1782.44,,,
144,2024-01-06 00:00,1781.52,,,
145,2024-01-07 01:00,1741.92,,,
146,2024-01-07 02:00,1721.11,,,
147,2024-01-07 03:00,1705.38,,,
148,2024-01-07 04:00,1697.27,,,
149,2024-01-07 05:00,1705.78,,,
150,2024-01-07 06:00,1725.54,,,
